"","year","dem_2p","district","state"
"386",2018,0.293325138491471,"14","GA"
"387",2016,0.274336283185841,"14","GA"
"388",2020,0.649635435853853,"1","HI"
"389",2018,0.664354939586989,"1","HI"
"390",2016,0.67437257744466,"1","HI"
"391",2020,0.651051170032705,"2","HI"
"392",2018,0.637426451384942,"2","HI"
"393",2016,0.674532537766159,"2","HI"
"394",2020,0.48527706600627,"1","IA"
"395",2018,0.519874622923171,"1","IA"
"396",2016,0.483380278620735,"1","IA"
"397",2020,0.477598823192138,"2","IA"
"398",2018,0.499708982925019,"2","IA"
"399",2016,0.474982962739908,"2","IA"
"400",2020,0.498240563019834,"3","IA"
"401",2018,0.521291170644104,"3","IA"
"402",2016,0.482592201516875,"3","IA"
"403",2020,0.367613000468201,"4","IA"
"404",2018,0.393305318627215,"4","IA"
"405",2016,0.35258382969336,"4","IA"
"406",2020,0.302251891743064,"1","ID"
"407",2018,0.347715667285213,"1","ID"
"408",2016,0.277938073295724,"1","ID"
"409",2020,0.38140674024858,"2","ID"
"410",2018,0.430247506617916,"2","ID"
"411",2016,0.353277733000792,"2","ID"
"412",2020,0.713629207897353,"1","IL"
"413",2018,0.744624017070376,"1","IL"
"414",2016,0.749543602766879,"1","IL"
"415",2020,0.703587006136836,"2","IL"
"416",2018,0.728543762694252,"2","IL"
"417",2016,0.720948509574584,"2","IL"
"418",2020,0.710271466561959,"3","IL"
"419",2018,0.706534835920335,"3","IL"
"420",2016,0.736062964567848,"3","IL"
"421",2020,0.739210342860764,"4","IL"
"422",2018,0.743167806444928,"4","IL"
"423",2016,0.773237582165759,"4","IL"
"424",2020,0.707382901882943,"5","IL"
"425",2018,0.644968839972302,"5","IL"
"426",2016,0.710925255100382,"5","IL"
"427",2020,0.552779657635262,"6","IL"
"428",2018,0.526431685122737,"6","IL"
"429",2016,0.541783619076519,"6","IL"
"430",2020,0.871839891273978,"7","IL"
"431",2018,0.85402119812368,"7","IL"
"432",2016,0.899904677947637,"7","IL"
"433",2020,0.579708850880326,"8","IL"
"434",2018,0.544058506360035,"8","IL"
"435",2016,0.585106425169245,"8","IL"
"436",2020,0.717076228255457,"9","IL"
"437",2018,0.691399746634875,"9","IL"
"438",2016,0.732904530610215,"9","IL"
"439",2020,0.633987043632732,"10","IL"
"440",2018,0.548572864362338,"10","IL"
"441",2016,0.624417031272537,"10","IL"
"442",2020,0.57942966598284,"11","IL"
"443",2018,0.513419802234493,"11","IL"
"444",2016,0.55816602640194,"11","IL"
"445",2020,0.279177064749287,"12","IL"
"446",2018,0.3675794259132,"12","IL"
"447",2016,0.272857455340868,"12","IL"
"448",2020,0.560742847095487,"13","IL"
"449",2018,0.591987629453295,"13","IL"
"450",2016,0.548573919541661,"13","IL"
"451",2020,0.558674883237417,"14","IL"
"452",2018,0.549730601329296,"14","IL"
"453",2016,0.546343373922951,"14","IL"
"454",2020,0.295945308945061,"15","IL"
"455",2018,0.344774053645575,"15","IL"
"456",2016,0.289979726366649,"15","IL"
"457",2020,0.386986923106546,"16","IL"
"458",2018,0.384000868425496,"16","IL"
"459",2016,0.368653252991339,"16","IL"
"460",2020,0.539943496829986,"17","IL"
"461",2018,0.552389919021956,"17","IL"
"462",2016,0.535878882010117,"17","IL"
"463",2020,0.542726894491555,"1","IN"
"464",2018,0.618675400468346,"1","IN"
"465",2016,0.563066633554572,"1","IN"
"466",2020,0.38550066983635,"2","IN"
"467",2018,0.458137400576873,"2","IN"
"468",2016,0.366631924367365,"2","IN"
"469",2020,0.347644862441219,"3","IN"
"470",2018,0.384961121080065,"3","IN"
"471",2016,0.318970198591021,"3","IN"
